date,X3T_change,change_slope,ted,cre_spread,re_excess,equ_vol,Rsp500_t,Rsse_t,Rhsi_t,Rsti_t,Rsp500h,Rsseh,Rhsih,Rstih,HK_equ_vol,HIBOR,SH_equ_vol
4/1/1999,-0.01,0.0088,0.0068,0.0261,0,-0.00092,-0.002836558,-0.01821,,0,0.008571675,0.04174,0.08412,-0.00991,0.021532095,#VALUE!,0.023345793
5/1/1999,-0.01,0.0094,0.0069,0.0261,0.0104,0.01358,0.0097468,-0.0052,0.00835,-0.00991,0.018506696,0.03474,0.08295,0.10874,0.021953051,#VALUE!,0.023659684
6/1/1999,-0.03,0.0089,0.007,0.0259,0.0206,0.02214,0.018503035,0.01127,0.03465,0.05679,0.023381781,0.01374,0.00391,0.02805,0.020162922,#VALUE!,0.019958266
7/1/1999,0.04,0.0099,0.00728,0.0257,0.0101,-0.00205,-0.002979572,0.00454,0.04493,0.03612,0.025106468,0.0096,-0.04773,-0.02733,0.017174994,#VALUE!,0.021965981
8/1/1999,0.03,0.0102,0.00668,0.0251,0.00748,0.00422,0.003069207,0.02732,0.00272,0.01799,0.025595522,-0.02695,-0.05365,-0.02936,0.017156709,#VALUE!,0.021402817
11/1/1999,-0.03,0.0104,0.00655,0.0248,-0.0124,-0.00879,-0.011487099,0.00342,-0.00825,-0.00136,0.016698328,-0.01679,-0.02179,-0.02767,0.017504959,0.0520982,0.021374613
12/1/1999,-0.03,0.0101,0.0069,0.0253,-0.0201,-0.01928,-0.015645969,-0.01189,0.00727,-0.00395,-0.008869255,-0.00027,-0.03935,-0.02345,0.019082613,0.0550446,0.021366534
13/1/1999,-0.01,0.0098,0.0069,0.0255,-0.0153,-0.00412,-0.006508625,-0.00925,-0.04087,-0.02012,-0.033208726,0.0028,0.004,-0.03185,0.017926241,0.0571875,0.021178564
14/1/1999,0,0.0089,0.00675,0.026,-0.0234,-0.01799,-0.016334933,0.00044,-0.00882,-0.0197,-0.046159159,0.00857,-0.01321,-0.02902,0.01837134,0.0602232,0.022175956
15/1/1999,-0.03,0.0093,0.0064,0.0261,0.0293,0.02563,0.021202526,-0.00988,-0.00351,0.01586,-0.028915782,0.02202,-0.04029,-0.09636,0.018871618,0.059375,0.022300403
